compound_id,assay_id,value,qualifier,units,n,source_table,source_note
18,caco2_papp,8.5,=,1e-6 cm/s,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,proj_h_cl,0.7,=,L/h/kg,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,proj_h_f,42.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,rat_cl_hbf,11.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,rat_iv_t_half,3.7,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,rat_po_auc,11884.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,rat_po_t_half,4.6,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,rat_po_f,54.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,cyno_cl_hbf,3.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,cyno_iv_t_half,8.4,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,cyno_po_auc,74984.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,cyno_po_t_half,16.0,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,cyno_po_f,54.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
19,jak1_ic50,0.25,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,jak2_ic50,7.8,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,jak2_jak1_fold,25.0,=,fold,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,ina6_ic50,83.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,wb_il6,243.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,wb_tpo,1161.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,wb_tpo_il6_fold,5.0,=,fold,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,caco2_papp,1.4,=,1e-6 cm/s,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,proj_h_cl,0.5,<,L/h/kg,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,proj_h_f,60.0,>,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,rat_cl_hbf,12.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,rat_iv_t_half,2.2,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,rat_po_auc,5606.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,rat_po_t_half,2.2,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,rat_po_f,21.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,cyno_cl_hbf,7.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,cyno_iv_t_half,4.3,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,cyno_po_auc,14445.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,cyno_po_t_half,6.0,=,h,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
19,cyno_po_f,28.0,=,%,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5. The control without the ortho-fluorine"
20,jak1_ic50,314.0,=,nM,,T5,
20,jak2_ic50,7319.0,=,nM,,T5,
20,jak2_jak1_fold,23.0,=,fold,,T5,
21,jak1_ic50,19.0,=,nM,,T5,
21,jak2_ic50,910.0,=,nM,,T5,
21,jak2_jak1_fold,48.0,=,fold,,T5,
22,jak1_ic50,11.0,=,nM,,T5,
22,jak2_ic50,505.0,=,nM,,T5,
22,jak2_jak1_fold,46.0,=,fold,,T5,
18,jak1_ic50,0.25,=,nM,,T5,
18,jak2_ic50,6.1,=,nM,,T5,
18,jak2_jak1_fold,25.0,=,fold,,T5,
22,jak1_ic50,11.0,=,nM,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,jak2_ic50,505.0,=,nM,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,jak2_jak1_fold,46.0,=,fold,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,ina6_ic50,97.0,=,nM,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
