compound_id,assay_id,value,qualifier,units,n,source_table,source_note
14,rat_iv_vdss,1.4,=,L/kg,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
14,cyno_po_auc,7590.0,=,nM.h,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
14,cyno_po_cmax,778.0,=,nM,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
14,cyno_po_f,8.0,=,%,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
14,cyno_iv_hbf,4.3,=,%,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
14,cyno_iv_t_half,3.2,=,h,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
14,cyno_iv_vdss,0.37,=,L/kg,,T3,Discrete study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_po_auc,751.0,=,nM.h,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_po_cmax,757.0,=,nM,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_po_f,51.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_iv_hbf,130.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_iv_t_half,2.0,=,h,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,rat_iv_vdss,1.8,=,L/kg,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
17,cyno_po_auc,5652.0,=,nM.h,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
17,cyno_po_cmax,962.0,=,nM,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
17,cyno_po_f,21.0,=,%,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
17,cyno_iv_hbf,9.0,=,%,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
17,cyno_iv_t_half,2.6,=,h,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
17,cyno_iv_vdss,0.4,=,L/kg,,T3,Discrete study. 0.3 mg/kg IV and 2 mg/kg PO.
